rf_dBm,wanted_unfiltered_W,carrier_to_wanted_unfiltered,wanted_at_cell_W,carrier_at_cell_W,other_sidebands_at_cell_W,carrier_to_wanted_at_cell,other_to_wanted_at_cell,cell_spectral_purity
15.25,0.000502743766009885,1.3871242702060702,6.4858584049018185e-06,1.534423346521533e-08,9.668688878427421e-09,0.0023657984043590308,0.0014907338820594842,0.9961582834176167
15.5,0.0005181503124448583,1.2594335368131795,6.6846170677468125e-06,1.435866791111986e-08,1.0141766278607813e-08,0.0021480165229509165,0.0015171798437851735,0.996348188240457
15.75,0.0005330842269548308,1.1393742115335508,6.877278342716627e-06,1.3364273388087966e-08,1.0631818635466594e-08,0.001943250326961302,0.0015459340316981947,0.9965229477177779
16.0,0.0005474095101674488,1.026571065599411,7.062087712437049e-06,1.2364725819096851e-08,1.1138712222050983e-08,0.0017508598480476703,0.0015772548679103189,0.9966829248905278
16.25,0.0005609784016571467,0.920676985091748,7.237138931096869e-06,1.1364139616732535e-08,1.1662204926122277e-08,0.001570253068916859,0.001611438586042833,0.9968283994002016
16.5,0.0005736315477689241,0.8213726519995554,7.400376189529444e-06,1.0367078805662862e-08,1.2201934515213482e-08,0.0014008853793582698,0.0016488262491949543,0.9969595608341268
16.75,0.0005851984292772438,0.7283665143855492,7.549599632407033e-06,9.378562056013905e-09,1.2757406756251316e-08,0.0012422595253602535,0.0016898123579281623,0.997076500028778
17.0,0.0005954981004707605,0.6413950996247911,7.682474893115646e-06,8.40406013122207e-09,1.3327983638160103e-08,0.0010939261433516748,0.001734855476078869,0.9971791978139455
17.25,0.000604340295799216,0.5602237429310251,7.796547370521006e-06,7.449484085638125e-09,1.3912872016655092e-08,0.0009554850027340129,0.0017844914364607215,0.9972675105176074
17.5,0.0006115269640671247,0.4846478280736983,7.889262021482467e-06,6.52116238885249e-09,1.4511113083662354e-08,0.0008265871219760936,0.0018393498712742182,0.997341151329779
17.75,0.00061685429289563,0.4144946709540232,7.95798947827873e-06,5.625805015642181e-09,1.5121573160587098e-08,0.0007069379811317634,0.0019001750632947321,0.9973996663194319
18.0,0.0006201152872849187,0.349626223408391,8.000059314441931e-06,4.77045243564498e-09,1.5742936425880278e-08,0.0005963021332895901,0.0019678524629762042,0.9974424034766151
18.25,0.0006211029649696348,0.2899428399571434,8.012801267790439e-06,3.9624073815470996e-09,1.6373700313530826e-08,0.0004945096289202925,0.0020434427070279678,0.9974684725600315
18.5,0.0006196142271246784,0.23538844279800045,7.993595176104728e-06,3.2091472884066003e-09,1.701217446014408e-08,0.00040146482498885,0.002128225671347307,0.9974766926901848
18.75,0.0006154544549826381,0.18595755323146457,7.939930277733022e-06,2.518215403112996e-09,1.7656484233193115e-08,0.0003171583773443395,0.0022237580955477014,0.9974655234203992
19.0,0.0006084428700833561,0.14170485113303305,7.849474363755967e-06,1.8970887890433105e-09,1.830458003966077e-08,0.0002416835447992412,0.0023319497830555425,0.9974329732577226
