contaminant_to_wanted_shot_weight_ratio,threshold_fano_for_sql_crossing,R_F_1,dB_F_1,R_F_2,dB_F_2,R_F_4p2565,dB_F_4p2565
0.2625,4.299047619047618,0.31405940594059406,-5.029881951370764,0.521980198019802,-2.8234597219668913,0.9911534653465349,-0.038590962785157994
0.265,4.2679245283018865,0.31541501976284586,-5.011176298250884,0.524901185770751,-2.7992244614381927,0.9976067193675889,-0.010406343346079918
0.2675,4.237383177570093,0.31676528599605525,-4.992624183906738,0.527810650887574,-2.775218502375505,1.004034516765286,0.01748643270178537
0.27,4.207407407407407,0.31811023622047246,-4.974223558453518,0.5307086614173229,-2.75143824420637,1.0104370078740161,0.045092441398509216
0.2725,4.177981651376147,0.3194499017681729,-4.955972410787094,0.5335952848722987,-2.727880167282946,1.0168143418467588,0.07241663176342514
0.275,4.1490909090909085,0.32078431372549027,-4.937868767626321,0.5364705882352941,-2.704540830498577,1.023166666666667,0.09946382996653859
0.2775,4.120720720720721,0.32211350293542074,-4.919910692584617,0.539334637964775,-2.6814168689912448,1.029494129158513,0.1262387433303813
0.28,4.0928571428571425,0.32343750000000004,-4.902096285269693,0.5421875,-2.6585049919301342,1.0357968750000002,0.1527459641705271
0.28250000000000003,4.065486725663717,0.32475633528265113,-4.884423680410474,0.545029239766082,-2.635801980381724,1.0420750487329435,0.17898997348250129
0.28500000000000003,4.03859649122807,0.32607003891050584,-4.86689104701018,0.5478599221789883,-2.613304685252012,1.0483287937743193,0.2049751444824026
0.28750000000000003,4.012173913043478,0.32737864077669904,-4.8494965875246745,0.5506796116504855,-2.59101002530162,1.0545582524271848,0.23070574600813032
0.29,3.986206896551724,0.32868217054263565,-4.832238537065163,0.5534883720930233,-2.568914985230746,1.060763565891473,0.2561859457877645
0.2925,3.960683760683761,0.3299806576402321,-4.815115162624383,0.5562862669245647,-2.5470166138309756,1.066944874274662,0.2814198135812695
0.295,3.9355932203389834,0.3312741312741313,-4.798124762325464,0.5590733590733591,-2.525312022201237,1.0731023166023168,0.30641132420134176
0.2975,3.9109243697478995,0.3325626204238921,-4.78126566469267,0.561849710982659,-2.503798382025208,1.0792360308285167,0.3311643604189857
0.3,3.8866666666666667,0.33384615384615385,-4.76453622794326,0.5646153846153846,-2.4824729239076624,1.085346153846154,0.35568271575899324
0.3025,3.862809917355372,0.33512476007677544,-4.747934839299735,0.5673704414587332,-2.4613329357673637,1.091432821497121,0.37997009719034536
0.305,3.839344262295082,0.3363984674329502,-4.731459914321784,0.5701149425287356,-2.4403757612842107,1.0974961685823756,0.4040301277161992
0.3075,3.816260162601626,0.3376673040152963,-4.715109896257245,0.572848948374761,-2.419598798398454,1.1035363288718931,0.4278663488679425
0.31,3.793548387096774,0.33893129770992364,-4.698883255411444,0.5755725190839694,-2.398999497859902,1.109553435114504,0.4514822231075438
