analysis_frequency_MHz,abs_chi_sc_s,abs_chi_sc_normalized,mean_field_probe_gain,mean_field_conjugate_gain,probe_gain_normalized,conjugate_gain_normalized
1.4838888888888888,4.165707571560747e-11,1.0120816401336838,447.57005703584616,450.3214019972268,1.1032251029104445,1.1035387914916586
1.5333333333333334,4.167448106345266e-11,1.0125045126635397,449.08798653374186,451.85294943765035,1.1069666801232219,1.1072919375869168
1.5827777777777778,4.169190387919007e-11,1.0129278095854757,450.61100553812395,453.389637673671,1.1107208025704913,1.111057681500834
1.6322222222222222,4.170934419028402e-11,1.0133515315667523,452.139130334803,454.9314831868946,1.1144875103954994,1.1148360636225436
1.6816666666666666,4.1726802024259394e-11,1.013775679276102,453.67237725393966,456.47850250399483,1.1182668438508119,1.1186271244516213
1.731111111111111,4.174427740870211e-11,1.0142002533837395,455.2107626701871,458.03071219687985,1.1220588432986651,1.122430904598492
1.7805555555555557,4.176177037125894e-11,1.0146252545613588,456.7543030026316,459.5881288826144,1.1258635492108193,1.1262474447842392
1.83,4.177928093963797e-11,1.0150506834821433,458.30301471494107,461.15076922358855,1.1296810021689254,1.1300767858410192
1.8794444444444445,4.1796809141609075e-11,1.0154765408207769,459.8569143153817,462.7186499275244,1.1335112428645655,1.133918968712077
1.9288888888888889,4.181435500500272e-11,1.0159028272534165,461.4160183567908,464.2917877474573,1.1373543120991856,1.1377740344517
1.9783333333333333,4.183191855771215e-11,1.0163295434577437,462.9803434367762,465.87019948194217,1.141210250784588,1.1416420242257246
2.0277777777777777,4.1849499827691834e-11,1.0167566901129277,464.54990619757973,467.45390197489775,1.1450790999425942,1.1455229793111534
2.077222222222222,4.1867098842958525e-11,1.0171842678996512,466.1247233262934,469.04291211586116,1.1489609007055774,1.1494169410967794
2.1266666666666665,4.188471563159165e-11,1.0176122775001193,467.70481155481485,470.6372468399127,1.1528556943163542,1.1533239510830022
2.176111111111111,4.1902350221732405e-11,1.0180407195980377,469.2901876598648,472.23692312771203,1.1567635221282253,1.1572440508819162
2.2255555555555553,4.1920002641585146e-11,1.0184695948786469,470.88086846311444,473.84195800562526,1.1606844256052922,1.1611772822176216
2.275,4.193767291941676e-11,1.0188989040287064,472.4768708311516,475.4523685456914,1.1646184463223708,1.1651236869261434
2.324444444444444,4.195536108355739e-11,1.0193286477365129,474.0782116756012,477.0681718657525,1.1685656259652912,1.1690833069557494
2.3738888888888887,4.197306716240057e-11,1.0197588266919029,475.68490795310413,478.6893851294204,1.1725260063308436,1.1730561843668685
2.423333333333333,4.1990791184402385e-11,1.0201894415862327,477.29697666533076,480.3160255461096,1.176499629326813,1.1770423613321725
2.4727777777777775,4.2008533178083377e-11,1.0206204931124245,478.9144348591406,481.9481103711891,1.1804865369723714,1.1810418801369464
2.522222222222222,4.202629317202744e-11,1.02105198196494,480.537299626483,483.5856569058826,1.184486771397834,1.1850547831788458
2.5716666666666663,4.204407119488221e-11,1.021483908839789,482.1655881045252,485.2286824974149,1.1885003748449747,1.189081112968254
2.621111111111111,4.206186727536035e-11,1.0219162744345613,483.7993174757061,486.8772045390493,1.1925273896671582,1.1931209121283741
2.670555555555555,4.2079681442237557e-11,1.0223490794483792,485.438504967629,488.53124046999324,1.196567858329076,1.197174223394999
2.7199999999999998,4.209751372435516e-11,1.022782324581958,487.08316785329947,490.190807775638,1.200621823407333,1.2012410896170969
2.7694444444444444,4.211536415061828e-11,1.0232160105375636,488.7333234509802,491.855923987414,1.2046893275900887,1.2053215537564577
2.8188888888888886,4.2133232749997584e-11,1.0236501380190548,490.3889891243524,493.52660668295437,1.2087704136774564,1.2094156588880944
2.868333333333333,4.215111955152878e-11,1.0240847077318695,492.0501822825016,495.2028734860845,1.212865124581467,1.213523448200216
2.9177777777777774,4.216902458431238e-11,1.0245197203830212,493.71692037991204,496.8847420668206,1.2169735033260556,1.2176449649942251
2.967222222222222,4.218694787751489e-11,1.024955176681126,495.38922091657474,498.57223014147604,1.2210955930473282,1.2217802526849784
3.0166666666666666,4.2204889460367995e-11,1.0253910773363841,497.0671014379309,500.2653554726095,1.225231436993422,1.225929354800659
3.066111111111111,4.222284936216952e-11,1.0258274230606022,498.7505795349863,501.9641358691438,1.2293810785247872,1.230092314983068
3.1155555555555554,4.224082761228357e-11,1.026264214567197,500.4396728443202,503.668589186376,1.233544561114209,1.2342691769876504
3.1649999999999996,4.2258824240139797e-11,1.0267014525711786,502.1343990480183,505.37873332590885,1.2377219283466423,1.2384599846833242
3.214444444444444,4.2276839275235236e-11,1.0271391377891939,503.83477587387074,507.09458623585584,1.2419132239197002,1.242664782052986
3.263888888888889,4.229487274713248e-11,1.027577270939482,505.54082109519663,508.8161659106667,1.2461184916432209,1.2468836131930816
3.313333333333333,4.231292468546178e-11,1.0280158527419263,507.2525525310778,510.54349039137145,1.250337775439844,1.2511165223142042
3.3627777777777776,4.233099511992051e-11,1.028454883918041,508.9699880462511,512.2765777654562,1.2545711193447455,1.2553635537407912
3.412222222222222,4.234908408027225e-11,1.0288943651909483,510.6931455510902,514.0154461668674,1.2588185675055923,1.259624751911133
